order_id,user_id,session_id,product_id,quantity,unit_price,discount_pct,revenue,order_timestamp,order_bucket
1,1,3,398,3,2416,20,5798.4,2025-03-14 16:06:30,5K-10K
2,3,14,91,3,7463,10,20150.1,2025-05-19 14:06:24,10K-50K
3,4,16,391,3,6218,20,14923.2,2025-03-15 22:03:14,10K-50K
4,4,21,172,2,1473,5,2798.7,2025-02-10 18:04:01,1K-5K
5,5,37,150,2,1950,0,3900.0,2025-06-23 01:46:46,1K-5K
6,5,39,405,1,7141,15,6069.85,2025-03-28 13:51:21,5K-10K
7,7,46,249,1,1437,20,1149.6,2025-03-20 14:12:05,1K-5K
8,8,50,186,2,3922,15,6667.4,2025-03-19 09:08:00,5K-10K
9,9,57,132,2,2167,20,3467.2,2025-03-09 16:47:26,1K-5K
10,11,63,429,2,2988,20,4780.8,2025-03-22 06:53:26,1K-5K
11,12,78,205,3,749,20,1797.6,2025-03-15 13:59:11,1K-5K
12,12,81,100,3,6284,0,18852.0,2025-01-27 23:30:37,10K-50K
13,12,86,369,2,1901,0,3802.0,2025-03-28 20:01:19,1K-5K
14,12,88,85,1,2958,10,2662.2,2025-02-28 04:57:15,1K-5K
15,12,90,110,1,1285,5,1220.75,2025-06-28 08:39:01,1K-5K
16,12,91,289,2,13221,10,23797.8,2025-03-26 10:04:59,10K-50K
17,12,95,463,1,672,0,672.0,2025-03-20 11:49:58,0-1K
18,12,96,160,3,2137,15,5449.35,2025-06-15 13:05:11,5K-10K
19,13,99,105,3,70909,15,180817.95,2025-03-19 11:17:50,50K+
20,15,106,298,1,2363,10,2126.7,2025-01-28 00:16:29,1K-5K
21,15,111,40,1,10577,20,8461.6,2025-01-27 01:53:09,5K-10K
22,16,117,163,2,156,0,312.0,2025-03-24 16:02:01,0-1K
23,16,125,164,1,28405,10,25564.5,2025-03-21 18:47:20,10K-50K
24,17,129,202,2,348,0,696.0,2025-04-23 16:24:27,0-1K
25,17,132,388,1,70836,0,70836.0,2025-06-01 05:53:09,50K+
26,18,137,84,3,7376,5,21021.6,2025-04-15 16:56:25,10K-50K
27,18,146,34,3,842,15,2147.1,2025-02-20 13:52:54,1K-5K
28,19,147,208,1,425,15,361.25,2025-03-18 18:15:55,0-1K
29,19,148,302,1,3068,0,3068.0,2025-03-17 23:47:14,1K-5K
30,19,151,225,1,44139,20,35311.2,2025-02-23 10:44:31,10K-50K
31,21,158,42,2,3266,5,6205.4,2025-04-05 03:59:36,5K-10K
32,24,185,256,1,511,5,485.45,2025-02-21 20:53:14,0-1K
33,24,188,6,2,33657,5,63948.3,2025-05-12 03:14:03,50K+
34,24,198,437,1,5210,10,4689.0,2025-01-07 14:46:48,1K-5K
35,26,207,192,1,2340,0,2340.0,2025-06-29 04:11:24,1K-5K
36,26,210,251,1,1710,15,1453.5,2025-05-30 13:06:38,1K-5K
37,26,212,221,3,1994,0,5982.0,2025-02-23 20:22:41,5K-10K
38,26,217,447,2,1407,20,2251.2,2025-03-16 19:35:44,1K-5K
39,28,221,479,3,739,10,1995.3,2025-03-15 18:54:08,1K-5K
40,28,228,29,3,869,0,2607.0,2025-01-01 17:22:25,1K-5K
41,28,233,113,3,1170,5,3334.5,2025-03-16 00:31:53,1K-5K
42,28,234,396,2,9742,0,19484.0,2025-04-04 14:42:49,10K-50K
43,30,252,463,1,672,10,604.8,2025-05-05 22:38:16,0-1K
44,31,253,357,3,13393,0,40179.0,2025-04-14 16:26:16,10K-50K
45,33,264,97,1,1648,10,1483.2,2025-04-02 12:11:07,1K-5K
46,34,265,1,2,302,15,513.4,2025-05-01 01:56:00,0-1K
47,39,288,399,3,35771,15,91216.05,2025-03-15 20:47:59,50K+
48,42,319,44,2,25033,10,45059.4,2025-01-14 18:24:47,10K-50K
49,43,334,492,1,501,0,501.0,2025-01-07 05:42:15,0-1K
50,47,356,353,2,6296,10,11332.8,2025-03-18 23:55:39,10K-50K
51,48,359,487,2,1359,0,2718.0,2025-03-18 07:11:04,1K-5K
52,49,364,317,3,303,5,863.55,2025-04-21 18:17:42,0-1K
53,51,371,73,2,571,0,1142.0,2025-06-17 01:48:23,1K-5K
54,51,372,50,1,2992,5,2842.4,2025-03-16 17:49:04,1K-5K
55,51,382,230,1,3485,20,2788.0,2025-03-18 11:37:33,1K-5K
56,51,383,356,1,72952,10,65656.8,2025-03-17 05:49:30,50K+
57,51,388,460,2,6380,10,11484.0,2025-04-23 15:42:32,10K-50K
58,51,389,288,3,4649,20,11157.6,2025-05-17 11:36:26,10K-50K
59,51,392,352,3,16542,10,44663.4,2025-02-21 22:07:10,10K-50K
60,51,394,361,1,4270,10,3843.0,2025-01-13 07:28:35,1K-5K
61,51,397,358,2,3921,10,7057.8,2025-04-02 07:17:50,5K-10K
62,53,413,125,1,14223,5,13511.85,2025-01-05 06:49:06,10K-50K
63,54,421,409,3,3633,20,8719.2,2025-03-30 22:36:50,5K-10K
64,54,423,280,3,16221,15,41363.55,2025-03-01 12:31:05,10K-50K
65,54,424,1,1,302,10,271.8,2025-02-20 11:51:23,0-1K
66,55,443,92,3,77132,10,208256.4,2025-05-30 05:39:34,50K+
67,55,445,390,2,4608,20,7372.8,2025-04-17 01:21:03,5K-10K
68,56,446,408,3,896,0,2688.0,2025-03-06 08:00:33,1K-5K
69,56,449,315,2,725,0,1450.0,2025-05-27 10:45:18,1K-5K
70,56,453,439,2,8673,10,15611.4,2025-03-07 18:30:38,10K-50K
71,57,457,123,2,3584,5,6809.6,2025-06-13 06:51:26,5K-10K
72,59,468,380,3,13498,15,34419.9,2025-03-19 04:53:22,10K-50K
73,59,474,459,2,2412,10,4341.6,2025-02-26 01:15:14,1K-5K
74,60,478,431,1,1546,10,1391.4,2025-03-19 19:14:14,1K-5K
75,62,481,85,2,2958,10,5324.4,2025-01-13 20:14:37,5K-10K
76,62,482,14,2,3240,20,5184.0,2025-04-25 16:52:02,5K-10K
77,62,483,66,3,533,15,1359.15,2025-01-18 04:19:46,1K-5K
78,62,485,318,1,2667,10,2400.3,2025-05-18 22:08:40,1K-5K
79,62,489,107,3,480,10,1296.0,2025-06-12 01:34:28,1K-5K
80,62,491,146,3,6862,10,18527.4,2025-03-31 23:58:05,10K-50K
81,63,504,111,3,1368,0,4104.0,2025-03-14 11:20:13,1K-5K
82,64,516,95,2,3829,10,6892.2,2025-05-16 12:55:02,5K-10K
83,65,538,498,1,9282,10,8353.8,2025-05-14 14:39:12,5K-10K
84,65,541,321,3,3846,5,10961.1,2025-05-29 04:06:04,10K-50K
85,65,547,469,1,3001,0,3001.0,2025-01-03 00:00:04,1K-5K
86,65,552,374,1,59387,20,47509.6,2025-03-20 08:46:17,10K-50K
87,66,555,342,1,458,5,435.1,2025-04-09 01:11:55,0-1K
88,67,561,141,1,14862,0,14862.0,2025-03-16 17:00:42,10K-50K
89,68,565,399,2,35771,20,57233.6,2025-03-10 21:45:31,50K+
90,68,567,258,2,2970,10,5346.0,2025-02-14 04:38:24,5K-10K
91,71,596,323,1,567,5,538.65,2025-04-10 07:31:52,0-1K
92,71,597,378,3,3958,5,11280.3,2025-05-30 03:12:13,10K-50K
93,71,598,376,3,44132,10,119156.4,2025-01-24 17:33:29,50K+
94,72,600,388,1,70836,15,60210.6,2025-01-27 03:26:31,50K+
95,73,603,321,2,3846,10,6922.8,2025-03-16 07:20:01,5K-10K
96,74,604,414,3,42700,15,108885.0,2025-03-05 11:50:50,50K+
97,74,611,342,2,458,15,778.6,2025-04-15 23:11:21,0-1K
