user_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
1,108,1,5798.4,1,1,2,112,At Risk
3,42,1,20150.1,4,1,3,413,Potential Loyalist
4,107,2,17721.9,2,3,3,233,At Risk
5,7,2,9969.85,5,3,3,533,Potential Loyalist
7,102,1,1149.6,2,1,1,211,At Risk
8,103,1,6667.4,2,1,2,212,At Risk
9,113,1,3467.2,1,1,1,111,At Risk
11,100,1,4780.8,2,1,2,212,At Risk
12,2,8,58253.7,5,5,4,554,Champions
13,103,1,180817.95,2,1,5,215,At Risk
15,153,2,10588.3,1,3,3,133,At Risk
16,98,2,25876.5,2,3,4,234,At Risk
17,29,2,71532.0,4,3,4,434,Potential Loyalist
18,76,2,23168.699999999997,3,3,4,334,Others
19,104,3,38740.45,2,4,4,244,Loyal
21,86,1,6205.4,3,1,2,312,Others
24,49,3,69122.75,4,4,4,444,Loyal
26,1,4,12026.7,5,5,3,553,Loyal
28,87,4,27420.8,2,5,4,254,Loyal
30,55,1,604.8,3,1,1,311,Others
31,77,1,40179.0,3,1,4,314,Others
33,89,1,1483.2,2,1,1,211,At Risk
34,60,1,513.4,3,1,1,311,Others
39,107,1,91216.05,2,1,5,215,At Risk
42,167,1,45059.4,1,1,4,114,At Risk
43,174,1,501.0,1,1,1,111,At Risk
47,103,1,11332.8,2,1,3,213,At Risk
48,104,1,2718.0,2,1,1,211,At Risk
49,70,1,863.55,3,1,1,311,Others
51,13,9,150635.0,5,5,5,555,Champions
53,176,1,13511.85,1,1,3,113,At Risk
54,91,3,50354.55,2,4,4,244,Loyal
55,31,2,215629.19999999998,4,3,5,435,Potential Loyalist
56,34,3,19749.4,4,4,3,443,Loyal
57,17,1,6809.6,5,1,2,512,Potential Loyalist
59,103,2,38761.5,2,3,4,234,At Risk
60,103,1,1391.4,2,1,1,211,At Risk
62,18,6,34091.25,5,5,4,554,Champions
63,108,1,4104.0,1,1,2,112,At Risk
64,45,1,6892.2,4,1,2,412,Potential Loyalist
65,32,4,69825.5,4,5,4,454,Loyal
66,82,1,435.1,3,1,1,311,Others
67,106,1,14862.0,2,1,3,213,At Risk
68,112,2,62579.6,1,3,4,134,At Risk
71,31,3,130975.34999999999,4,4,5,445,Loyal
72,154,1,60210.6,1,1,4,114,At Risk
73,106,1,6922.8,2,1,2,212,At Risk
74,75,4,123124.6,3,5,5,355,Loyal
76,69,1,1800.0,3,1,1,311,Others
77,105,3,20798.8,2,4,3,243,Loyal
78,4,1,4618.9,5,1,2,512,Potential Loyalist
79,76,2,6881.599999999999,3,3,2,332,Others
81,28,5,83723.9,4,5,5,455,Loyal
83,119,1,807.5,1,1,1,111,At Risk
84,90,2,1630.3000000000002,2,3,1,231,At Risk
85,6,4,10871.0,5,5,3,553,Loyal
87,135,1,8257.4,1,1,2,112,At Risk
89,21,4,34529.2,5,5,4,554,Champions
90,45,3,14954.15,4,4,3,443,Loyal
91,31,4,7983.25,4,5,2,452,Loyal
92,105,2,33107.85,2,3,4,234,At Risk
93,162,2,56754.0,1,3,4,134,At Risk
94,23,4,28064.100000000002,4,5,4,454,Loyal
96,32,2,7773.3,4,3,2,432,Potential Loyalist
98,106,1,32957.4,2,1,4,214,At Risk
100,43,2,248677.5,4,3,5,435,Potential Loyalist
102,21,1,2786.4,5,1,1,511,Potential Loyalist
103,103,1,160642.8,2,1,5,215,At Risk
105,70,2,8080.900000000001,3,3,2,332,Others
106,155,2,90251.3,1,3,5,135,At Risk
107,96,1,6425.6,2,1,2,212,At Risk
108,70,3,30226.300000000003,3,4,4,344,Loyal
109,35,6,59370.95,4,5,4,454,Loyal
110,55,1,17133.6,3,1,3,313,Others
112,155,1,133577.1,1,1,5,115,At Risk
113,25,3,118407.45,4,4,5,445,Loyal
116,11,3,22264.0,5,4,3,543,Loyal
118,15,1,1654.95,5,1,1,511,Potential Loyalist
119,103,1,9768.0,2,1,2,212,At Risk
121,69,1,151567.2,3,1,5,315,Others
123,7,8,60058.45,5,5,4,554,Champions
124,110,1,3288.0,1,1,1,111,At Risk
125,20,2,18621.7,5,3,3,533,Potential Loyalist
126,29,1,95646.0,4,1,5,415,Potential Loyalist
127,92,3,10023.3,2,4,3,243,Loyal
128,86,3,79735.4,3,4,5,345,Loyal
129,12,2,7026.65,5,3,2,532,Potential Loyalist
130,176,1,6099.3,1,1,2,112,At Risk
131,20,4,10350.7,5,5,3,553,Loyal
132,67,3,225490.25,3,4,5,345,Loyal
133,76,3,36331.7,3,4,4,344,Loyal
134,17,7,37917.95,5,5,4,554,Champions
135,45,2,7755.400000000001,4,3,2,432,Potential Loyalist
136,105,2,18404.7,2,3,3,233,At Risk
137,5,8,265641.35,5,5,5,555,Champions
138,80,6,111789.25,3,5,5,355,Loyal
139,75,3,277694.65,3,4,5,345,Loyal
141,49,4,200050.0,4,5,5,455,Loyal
142,106,2,14574.5,2,3,3,233,At Risk
143,31,3,12950.4,4,4,3,443,Loyal
144,105,1,7859.2,2,1,2,212,At Risk
146,59,2,16944.0,3,3,3,333,Others
147,105,2,25063.0,2,3,4,234,At Risk
148,90,1,5995.45,2,1,2,212,At Risk
149,12,1,134162.8,5,1,5,515,Potential Loyalist
150,73,2,4433.15,3,3,2,332,Others
151,66,1,32763.2,3,1,4,314,Others
152,104,1,2223.0,2,1,1,211,At Risk
154,100,2,7777.8,2,3,2,232,At Risk
155,4,3,23028.15,5,4,4,544,Loyal
158,6,6,180506.65,5,5,5,555,Champions
159,105,3,12295.1,2,4,3,243,Loyal
160,161,1,3528.3,1,1,1,111,At Risk
162,104,3,45199.799999999996,2,4,4,244,Loyal
164,95,3,156746.6,2,4,5,245,Loyal
167,15,11,41026.55,5,5,4,554,Champions
168,43,2,23530.5,4,3,4,434,Potential Loyalist
169,10,3,104839.9,5,4,5,545,Champions
170,59,1,1662.5,3,1,1,311,Others
171,24,4,18255.85,4,5,3,453,Loyal
172,57,2,4244.1,3,3,2,332,Others
173,14,1,8976.0,5,1,2,512,Potential Loyalist
174,11,4,15700.599999999999,5,5,3,553,Loyal
175,26,6,100276.0,4,5,5,455,Loyal
177,35,1,2840.4,4,1,1,411,Potential Loyalist
178,30,5,34569.45,4,5,4,454,Loyal
179,102,2,5236.85,2,3,2,232,At Risk
180,107,1,1472.0,2,1,1,211,At Risk
181,6,4,112013.70000000001,5,5,5,555,Champions
182,39,6,63055.7,4,5,4,454,Loyal
184,143,3,2385.65,1,4,1,141,Loyal
187,43,3,11383.85,4,4,3,443,Loyal
188,41,3,52602.0,4,4,4,444,Loyal
192,39,5,173883.34999999998,4,5,5,455,Loyal
193,9,2,84154.8,5,3,5,535,Potential Loyalist
195,5,1,1640.0,5,1,1,511,Potential Loyalist
196,105,1,21971.6,2,1,3,213,At Risk
197,56,1,3529.2,3,1,1,311,Others
198,6,2,69662.9,5,3,4,534,Potential Loyalist
199,83,3,12392.699999999999,3,4,3,343,Loyal
200,107,1,45781.6,2,1,4,214,At Risk
201,32,1,999.4,4,1,1,411,Potential Loyalist
203,98,1,39405.15,2,1,4,214,At Risk
204,78,2,48658.7,3,3,4,334,Others
205,63,2,14738.550000000001,3,3,3,333,Others
206,82,4,92939.1,3,5,5,355,Loyal
207,12,2,128375.15000000001,5,3,5,535,Potential Loyalist
209,85,2,11533.0,3,3,3,333,Others
210,63,1,14067.0,3,1,3,313,Others
211,104,2,27086.1,2,3,4,234,At Risk
213,21,1,5376.6,5,1,2,512,Potential Loyalist
214,110,1,20317.65,1,1,3,113,At Risk
216,27,2,34393.8,4,3,4,434,Potential Loyalist
217,141,1,8364.0,1,1,2,112,At Risk
219,44,2,41370.0,4,3,4,434,Potential Loyalist
221,150,1,1746.1,1,1,1,111,At Risk
223,69,1,112835.3,3,1,5,315,Others
224,150,2,10303.2,1,3,3,133,At Risk
225,165,1,25929.3,1,1,4,114,At Risk
226,6,6,57527.05,5,5,4,554,Champions
227,62,3,69904.35,3,4,4,344,Loyal
229,6,3,68070.6,5,4,4,544,Loyal
233,50,1,8384.8,3,1,2,312,Others
234,76,1,60374.4,3,1,4,314,Others
235,96,1,4300.65,2,1,2,212,At Risk
236,61,5,174492.35,3,5,5,355,Loyal
238,82,1,412.2,3,1,1,311,Others
240,18,7,26876.3,5,5,4,554,Champions
241,8,5,35388.7,5,5,4,554,Champions
242,87,2,19767.6,2,3,3,233,At Risk
244,9,3,135825.44999999998,5,4,5,545,Champions
245,112,1,2282.25,1,1,1,111,At Risk
246,29,2,190113.65000000002,4,3,5,435,Potential Loyalist
