user_id,signup_date,user_type,device,traffic_source,country
1,2026-03-28,Casual,Desktop,Organic,Australia
2,2026-02-09,Casual,Android,Google,USA
3,2025-11-08,Casual,Desktop,Organic,Canada
4,2026-04-13,Regular,Android,Email,Canada
5,2026-03-23,Regular,Android,Google,USA
6,2025-09-13,Casual,Android,Facebook,Canada
7,2026-01-21,Casual,Android,Organic,UK
8,2026-05-17,Casual,Android,Google,Canada
9,2025-09-21,Casual,iOS,Google,Canada
10,2026-01-16,Casual,iOS,Google,Canada
11,2025-07-22,Regular,Android,Google,India
12,2026-05-01,Power,Desktop,Organic,UK
13,2026-03-07,Casual,Android,Organic,Canada
14,2025-06-09,Casual,Android,Facebook,UK
15,2025-09-14,Casual,Desktop,Google,UK
16,2026-03-13,Regular,Android,Facebook,UK
17,2026-03-10,Casual,Android,Email,USA
18,2026-03-02,Regular,Desktop,Email,Canada
19,2025-07-11,Casual,Desktop,Google,India
20,2025-06-02,Casual,Android,Google,India
21,2026-02-19,Casual,Android,Organic,India
22,2025-08-18,Casual,Android,Facebook,India
23,2025-08-21,Casual,Desktop,Google,Canada
24,2025-10-13,Power,iOS,Google,India
25,2026-04-06,Casual,Desktop,Organic,UK
26,2026-02-20,Regular,iOS,Google,USA
27,2026-01-03,Casual,Android,Email,Australia
28,2026-04-02,Regular,Android,Google,India
29,2026-05-07,Casual,Android,Organic,Australia
30,2026-01-15,Regular,Desktop,Facebook,Australia
31,2026-04-02,Casual,iOS,Organic,Australia
32,2026-01-11,Casual,iOS,Facebook,UK
33,2025-08-11,Casual,Android,Google,India
34,2026-02-15,Casual,Android,Organic,Canada
35,2025-09-10,Casual,Android,Email,UK
36,2026-03-09,Casual,Android,Organic,Canada
37,2025-11-16,Casual,Android,Google,India
38,2025-10-03,Casual,Desktop,Organic,UK
39,2025-10-05,Regular,Desktop,Organic,Australia
40,2025-07-11,Casual,Desktop,Facebook,UK
41,2025-08-14,Regular,Desktop,Google,UK
42,2025-08-16,Casual,Android,Facebook,India
43,2026-05-21,Regular,Desktop,Google,Australia
44,2025-09-22,Casual,Android,Google,Australia
45,2025-12-04,Casual,Android,Email,USA
46,2025-10-16,Casual,Android,Organic,USA
47,2026-02-07,Casual,Desktop,Email,Canada
48,2026-01-28,Casual,Android,Google,USA
49,2025-10-18,Casual,Android,Organic,India
50,2025-08-17,Casual,Android,Google,UK
51,2025-07-19,Power,Android,Google,Australia
52,2025-07-09,Casual,Desktop,Google,UK
53,2025-12-05,Regular,iOS,Google,India
54,2025-07-24,Regular,Android,Organic,UK
55,2025-07-05,Regular,Android,Google,Australia
56,2025-11-10,Regular,Android,Google,USA
57,2025-08-20,Casual,iOS,Organic,Canada
58,2025-11-15,Casual,Android,Google,Australia
59,2025-10-21,Regular,Android,Organic,Australia
60,2026-02-02,Casual,Desktop,Google,Australia
61,2026-05-10,Casual,Android,Email,Australia
62,2025-10-14,Regular,Android,Organic,India
63,2025-09-04,Regular,iOS,Facebook,Australia
64,2025-08-25,Casual,Android,Email,UK
65,2026-03-04,Power,iOS,Google,India
66,2026-03-14,Casual,iOS,Email,USA
67,2025-09-16,Regular,iOS,Organic,UK
68,2025-11-05,Casual,Android,Email,UK
69,2025-11-07,Regular,Android,Google,UK
70,2026-02-14,Regular,Android,Google,UK
71,2026-02-13,Casual,iOS,Organic,India
72,2025-09-29,Casual,iOS,Google,USA
73,2025-07-13,Casual,iOS,Organic,USA
74,2025-12-15,Regular,iOS,Facebook,Australia
75,2025-11-10,Casual,Android,Google,Canada
76,2025-11-07,Casual,Desktop,Google,India
77,2026-03-25,Regular,iOS,Organic,USA
78,2026-01-07,Casual,iOS,Facebook,India
79,2025-11-01,Casual,iOS,Google,India
80,2025-07-26,Casual,iOS,Google,Australia
81,2026-03-31,Power,Desktop,Email,USA
82,2026-02-10,Casual,Android,Email,Canada
83,2025-07-05,Casual,Desktop,Email,Canada
84,2026-05-10,Regular,Android,Google,Canada
85,2025-08-19,Regular,Android,Google,UK
86,2026-01-09,Casual,Desktop,Organic,USA
87,2026-01-29,Casual,Android,Organic,UK
88,2025-08-03,Power,Android,Facebook,UK
89,2026-05-03,Regular,iOS,Organic,UK
90,2025-10-19,Regular,Android,Google,Australia
91,2025-09-22,Regular,Desktop,Email,Australia
92,2026-04-17,Power,Android,Facebook,India
93,2025-12-03,Regular,iOS,Organic,India
94,2025-10-09,Regular,Desktop,Google,USA
95,2025-10-07,Casual,Android,Facebook,USA
96,2025-08-27,Casual,Android,Facebook,Australia
97,2026-03-12,Casual,iOS,Google,India
98,2026-03-01,Casual,Desktop,Google,India
99,2026-05-07,Casual,Android,Organic,UK
100,2026-02-28,Casual,iOS,Google,Canada
101,2026-04-18,Casual,Android,Facebook,Canada
102,2026-01-09,Regular,iOS,Email,Canada
103,2026-02-19,Casual,Android,Organic,Australia
104,2026-03-06,Casual,Android,Google,Canada
105,2026-04-14,Casual,Desktop,Organic,Canada
106,2026-03-31,Regular,Android,Google,UK
